               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1248,            0.040074,                   0,           0.0028698,            0.010152,           0.0005715,          0.00010761,              0.1056,            0.039185,                   0,               0.002,               0.002,               0.082
                   1,             0.11296,            0.040981,                   0,           0.0023037,            0.060914,           0.0009563,          0.00016875,             0.10126,            0.036895,                   0,           0.0040865,           0.0040865,            0.063086
                   2,             0.10567,            0.040408,                   0,            0.077868,             0.16751,            0.036133,           0.0058583,            0.088601,            0.036806,                   0,           0.0061591,           0.0061591,            0.044159
                   3,             0.10178,            0.035787,                   0,            0.049225,             0.29949,            0.028723,           0.0051882,            0.089665,            0.033031,                   0,           0.0082178,           0.0082178,            0.025218
                   4,             0.10168,            0.033539,                   0,            0.041022,             0.47208,            0.029314,           0.0058294,             0.10512,            0.022847,                   0,            0.009868,            0.009868,            0.009868
                   5,             0.11373,            0.023897,                   0,            0.016684,            0.045685,           0.0082017,           0.0014222,             0.11673,            0.016517,                   0,            0.009868,            0.009868,            0.009868
                   6,             0.11255,            0.018983,                   0,             0.11018,             0.34518,            0.068438,            0.015392,             0.10169,             0.02013,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.10031,            0.025514,                   0,             0.17846,             0.41117,             0.10265,            0.018625,             0.10445,            0.018417,                   0,            0.009802,            0.009802,            0.009802
                   8,             0.10669,            0.021049,                   0,             0.14467,              0.3401,            0.089091,            0.017837,             0.10396,            0.018555,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.10522,            0.025556,                   0,             0.38175,             0.30964,              0.2868,            0.073763,            0.093191,            0.022203,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.099791,            0.026952,                   0,             0.45827,             0.39594,             0.32984,            0.077171,            0.094536,            0.020324,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.098216,            0.020539,                   0,             0.43642,             0.33412,             0.27025,            0.061154,             0.09391,            0.020056,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.09259,            0.023519,                   0,             0.53814,             0.56853,             0.46912,             0.12139,            0.081256,            0.022684,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.080218,            0.027505,                   0,              0.6208,             0.62437,             0.57673,             0.15478,            0.076493,            0.023689,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.087421,            0.022378,                   0,              0.5999,             0.55838,             0.51284,             0.13086,            0.092371,            0.019538,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.093596,            0.023348,                   0,              0.4611,             0.54291,             0.45477,              0.1318,            0.080729,            0.022165,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.085419,            0.022285,                   0,             0.50034,             0.55838,              0.4664,              0.1036,            0.074907,            0.022795,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.081166,            0.022956,                   0,             0.49706,             0.59391,             0.49622,             0.14087,            0.069109,            0.022733,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.076617,            0.021054,                   0,              0.4509,              0.4467,             0.41437,            0.094006,            0.071954,            0.021455,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.073738,            0.023568,                   0,             0.61286,             0.61421,             0.57134,              0.1377,            0.063071,            0.022039,                   0,            0.009406,            0.009406,            0.009406
                  20,             0.07552,            0.021896,                   0,             0.30049,             0.29442,             0.21374,            0.033866,            0.075247,            0.021041,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.08402,            0.019825,                   0,             0.33928,             0.62437,             0.30446,            0.061755,            0.069258,             0.02018,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.076022,            0.020758,                   0,             0.39811,             0.75544,             0.39438,              0.1005,            0.064005,            0.019764,                   0,            0.009307,            0.009307,            0.009307
                  23,              0.0725,            0.022975,                   0,             0.56718,             0.79157,               0.641,             0.15436,            0.066974,            0.018501,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.079835,            0.018453,                   0,             0.32695,             0.50761,             0.35084,            0.085733,            0.074657,            0.017364,                   0,            0.009241,            0.009241,            0.009241
